model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
8,13,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
8,14,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
8,15,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
8,16,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
8,17,4630,0,0,4630,37040,4630,37040,0,0,0,0,0,0,0,0,0,0,0
8,18,4630,8,4756,4630,37005,4638,41761,0,485,0,0,0,0,0,0,0,5,0
8,19,12516,932,542,12516,100043,13448,100585,15,14,0,0,0,0,0,2,0,1,0
8,20,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
9,2,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
9,3,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
9,4,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
9,5,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
9,13,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
9,14,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
9,15,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
9,16,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
9,17,4625,0,0,4625,37000,4625,37000,0,0,0,0,0,0,0,0,0,0,0
9,18,4625,0,786,4625,36993,4625,37779,0,1,0,0,0,0,0,0,0,1,0
9,19,12497,0,0,12497,99976,12497,99976,0,0,0,0,0,0,0,0,0,0,0
9,20,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
10,2,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
10,3,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
10,4,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
10,5,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
10,13,4206,0,58,4206,33648,4206,33706,0,0,0,0,0,0,0,0,0,0,0
10,14,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
10,15,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
10,16,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
10,17,4625,0,0,4625,37000,4625,37000,0,0,0,0,0,0,0,0,0,0,0
10,18,4625,0,780,4625,36979,4625,37759,0,231,0,0,0,0,0,0,0,3,0
10,19,12497,24,84,12497,99970,12521,100054,0,28,0,0,0,0,0,0,0,1,0
10,20,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
11,2,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
11,3,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
11,4,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
11,5,4640,0,0,4640,37120,4640,37120,0,0,0,0,0,0,0,0,0,0,0
11,17,4625,0,0,4625,37000,4625,37000,0,0,0,0,0,0,0,0,0,0,0
11,18,4625,0,0,4625,37000,4625,37000,0,0,0,0,0,0,0,0,0,0,0
11,19,4625,252,320,4625,37000,4877,37320,14,72,0,0,0,0,0,0,0,0,0
12,2,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
12,3,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
12,4,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
12,5,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
12,14,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
12,15,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
12,16,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
12,17,4625,0,0,4625,296000,4625,296000,0,0,0,0,0,0,0,0,0,0,0
12,18,4625,0,94,4625,296000,4625,296094,0,0,0,0,0,0,0,0,0,0,0
12,19,4625,392,1310,4625,295764,5017,297074,4,84,0,0,0,0,0,0,0,0,0
12,20,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
12,21,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
12,26,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
12,37,2889,0,0,2889,23112,2889,23112,0,0,0,0,0,0,0,0,0,0,0
13,2,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
13,3,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
13,4,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
13,5,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
13,15,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
13,16,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
13,17,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
13,18,4621,0,24,4621,295744,4621,295768,0,0,0,0,0,0,0,0,0,0,0
13,19,4621,104,1466,4621,295744,4725,297210,0,0,0,0,0,0,0,0,0,0,0
13,20,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
13,21,4206,0,0,4206,33648,4206,33648,0,0,0,0,0,0,0,0,0,0,0
13,26,1317,0,0,1317,10536,1317,10536,0,0,0,0,0,0,0,0,0,0,0
13,37,4114,0,0,4114,32912,4114,32912,0,0,0,0,0,0,0,0,0,0,0
14,2,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
14,3,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
14,4,4640,0,0,4640,296960,4640,296960,0,0,0,0,0,0,0,0,0,0,0
14,5,4640,0,1278,4640,296960,4640,298238,0,0,0,0,0,0,0,0,0,0,0
14,16,4206,0,0,4206,269184,4206,269184,0,0,0,0,0,0,0,0,0,0,0
14,17,4621,0,0,4621,295744,4621,295744,0,0,0,0,0,0,0,0,0,0,0
