model_id_1,model_id_2,queries,reference_bv_tests,official_bv_tests,candidate_root_bv_tests,candidate_internal_bv_tests,reference_triangle_tests,official_triangle_tests,candidate_leaf_tests,official_tp,official_tn,official_fp,official_fn,candidate_tp,candidate_tn,candidate_fp,candidate_fn
9,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
10,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
10,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
10,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
10,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
10,13,4206,0,0,4206,44,0,0,0,0,4206,0,0,0,4206,0,0
10,14,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
10,15,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
10,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
10,17,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
10,18,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
10,19,12497,24,24,12497,12,0,0,0,0,12497,0,0,0,12497,0,0
10,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
11,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
11,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
11,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
11,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
11,17,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
11,18,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
11,19,4625,212,252,4625,76,0,14,0,0,4625,0,0,0,4625,0,0
12,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
12,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
12,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
12,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
12,14,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
12,15,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
12,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
12,17,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
12,18,4625,0,0,4625,0,0,0,0,0,4625,0,0,0,4625,0,0
12,19,4625,4564,392,4625,238,1666,4,4,4,4621,0,0,4,4621,0,0
12,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
12,21,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
12,26,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
12,37,2889,0,0,2889,0,0,0,0,0,2889,0,0,0,2889,0,0
13,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
13,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
13,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
13,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
13,15,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
13,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
13,17,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
13,18,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
13,19,4621,148,104,4621,82,0,0,0,0,4621,0,0,0,4621,0,0
13,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
13,21,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
13,26,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
13,37,4114,0,0,4114,0,0,0,0,0,4114,0,0,0,4114,0,0
14,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
14,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
14,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
14,5,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
14,16,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
14,17,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
14,18,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
14,19,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
14,20,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
14,21,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
14,26,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
14,37,4114,0,0,4114,0,0,0,0,0,4114,0,0,0,4114,0,0
15,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
15,3,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
15,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
15,5,4640,0,0,4640,116,0,0,0,0,4640,0,0,0,4640,0,0
15,17,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
15,18,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
15,19,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
15,21,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
15,26,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
15,37,4114,0,0,4114,0,0,0,0,0,4114,0,0,0,4114,0,0
16,2,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
16,4,4640,0,0,4640,0,0,0,0,0,4640,0,0,0,4640,0,0
16,5,4640,46400,11144,4640,19988,0,0,0,0,4640,0,0,0,4640,0,0
16,17,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
16,18,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
16,19,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
16,26,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
16,37,4114,0,0,4114,0,0,0,0,0,4114,0,0,0,4114,0,0
18,2,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
18,3,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
18,4,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
18,5,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
18,21,4206,56492,62438,4206,56478,0,0,0,0,4206,0,0,0,4206,0,0
19,2,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
19,3,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
19,4,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
19,5,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
19,17,4206,8412,8412,4206,8412,0,0,0,0,4206,0,0,0,4206,0,0
19,21,4206,0,0,4206,0,0,0,0,0,4206,0,0,0,4206,0,0
20,17,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
20,18,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
20,19,4621,0,0,4621,0,0,0,0,0,4621,0,0,0,4621,0,0
20,26,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
20,37,2889,0,0,2889,0,0,0,0,0,2889,0,0,0,2889,0,0
26,2,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
26,3,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
26,4,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
26,5,1317,0,0,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
26,17,1317,0,2634,1317,0,0,0,0,0,1317,0,0,0,1317,0,0
26,18,1317,31608,13170,1317,28974,0,0,0,0,1317,0,0,0,1317,0,0
30,4,353,0,0,353,0,0,0,0,0,353,0,0,0,353,0,0
34,4,48,0,0,48,0,0,0,0,0,48,0,0,0,48,0,0
36,4,542,0,10,542,0,0,0,0,0,542,0,0,0,542,0,0
37,2,2889,0,0,2889,0,0,0,0,0,2889,0,0,0,2889,0,0
37,3,2889,0,0,2889,0,0,0,0,0,2889,0,0,0,2889,0,0
37,4,2889,0,0,2889,0,0,0,0,0,2889,0,0,0,2889,0,0
37,5,2889,0,0,2889,0,0,0,0,0,2889,0,0,0,2889,0,0
37,17,2889,0,5778,2889,0,0,0,0,0,2889,0,0,0,2889,0,0
37,18,2889,69336,28890,2889,63558,0,0,0,0,2889,0,0,0,2889,0,0
