model_id_1,model_id_2,queries,original_bv_tests,proxy_bv_tests,original_tri_tests,proxy_tri_tests,original_positives,proxy_positives,tp,tn,fp,fn
26,18,1317,31608,168576,0,34242,0,0,0,1317,0,0
26,21,1317,0,79020,0,0,0,0,0,1317,0,0
27,26,224,984,984,16,16,12,12,12,212,0,0
27,28,224,0,0,0,0,0,0,0,224,0,0
30,4,353,0,0,0,0,0,0,0,353,0,0
30,26,706,0,0,0,0,0,0,0,706,0,0
30,28,706,0,0,0,0,0,0,0,706,0,0
33,26,350,3964,3964,104,104,16,16,16,334,0,0
33,28,350,0,0,0,0,0,0,0,350,0,0
34,4,48,0,60,0,0,0,0,0,48,0,0
34,26,96,0,0,0,0,0,0,0,96,0,0
34,28,96,0,0,0,0,0,0,0,96,0,0
35,26,1006,28864,28864,7980,7980,90,90,90,916,0,0
35,28,1006,0,0,0,0,0,0,0,1006,0,0
36,4,542,0,1448,0,91,0,7,0,535,7,0
36,26,1084,0,0,0,0,0,0,0,1084,0,0
36,28,1084,0,0,0,0,0,0,0,1084,0,0
37,2,2889,0,0,0,0,0,0,0,2889,0,0
37,3,2889,0,0,0,0,0,0,0,2889,0,0
37,4,2889,0,0,0,0,0,0,0,2889,0,0
37,5,2889,0,0,0,0,0,0,0,2889,0,0
37,17,2889,0,5778,0,0,0,0,0,2889,0,0
37,18,2889,69336,369792,0,75114,0,0,0,2889,0,0
37,21,2889,0,173340,0,0,0,0,0,2889,0,0
