model_id_1,model_id_2,queries,original_bv_tests,proxy_bv_tests,original_tri_tests,proxy_tri_tests,original_positives,proxy_positives,tp,tn,fp,fn
13,15,4206,0,0,0,0,0,0,0,4206,0,0
13,16,4206,0,0,0,0,0,0,0,4206,0,0
13,17,4621,0,1012,0,0,0,0,0,4621,0,0
13,18,4621,0,148,0,5,0,0,0,4621,0,0
13,19,4621,148,3032,0,121,0,12,0,4609,12,0
13,20,4206,0,0,0,0,0,0,0,4206,0,0
13,21,4206,0,0,0,0,0,0,0,4206,0,0
13,26,1317,0,0,0,0,0,0,0,1317,0,0
13,37,4114,0,0,0,0,0,0,0,4114,0,0
14,2,4640,0,0,0,0,0,0,0,4640,0,0
14,3,4640,0,0,0,0,0,0,0,4640,0,0
14,4,4640,0,8,0,0,0,0,0,4640,0,0
14,5,4640,0,6636,0,0,0,0,0,4640,0,0
14,16,4206,0,0,0,0,0,0,0,4206,0,0
14,17,4621,0,8354,0,12,0,1,0,4620,1,0
14,18,4621,0,26,0,5,0,0,0,4621,0,0
14,19,4621,0,28,0,7,0,0,0,4621,0,0
14,20,4206,0,0,0,0,0,0,0,4206,0,0
14,21,4206,0,0,0,0,0,0,0,4206,0,0
14,26,1317,0,0,0,0,0,0,0,1317,0,0
14,37,4114,0,0,0,0,0,0,0,4114,0,0
15,2,4640,0,0,0,0,0,0,0,4640,0,0
15,3,4640,0,9312,0,0,0,0,0,4640,0,0
15,4,4640,0,0,0,0,0,0,0,4640,0,0
15,5,4640,0,92322,0,26349,0,1079,0,3561,1079,0
15,17,4621,0,14,0,0,0,0,0,4621,0,0
15,18,4621,0,0,0,0,0,0,0,4621,0,0
15,19,4621,0,0,0,0,0,0,0,4621,0,0
15,21,4206,0,0,0,0,0,0,0,4206,0,0
15,26,1317,0,0,0,0,0,0,0,1317,0,0
15,37,4114,0,0,0,0,0,0,0,4114,0,0
16,2,4640,0,0,0,0,0,0,0,4640,0,0
16,4,4640,0,28,0,0,0,0,0,4640,0,0
16,5,4640,46400,78038,0,6539,0,4640,0,0,4640,0
16,17,4621,0,0,0,0,0,0,0,4621,0,0
16,18,4621,0,0,0,0,0,0,0,4621,0,0
16,19,4621,0,0,0,0,0,0,0,4621,0,0
16,26,1317,0,0,0,0,0,0,0,1317,0,0
16,37,4114,0,0,0,0,0,0,0,4114,0,0
18,2,4206,0,0,0,0,0,0,0,4206,0,0
18,3,4206,0,0,0,0,0,0,0,4206,0,0
18,4,4206,0,0,0,0,0,0,0,4206,0,0
18,5,4206,0,0,0,0,0,0,0,4206,0,0
18,21,4206,56492,26876,0,1493,0,1492,0,2714,1492,0
19,2,4206,0,0,0,0,0,0,0,4206,0,0
19,3,4206,0,0,0,0,0,0,0,4206,0,0
19,4,4206,0,0,0,0,0,0,0,4206,0,0
19,5,4206,0,0,0,0,0,0,0,4206,0,0
19,17,4206,8412,54098,0,4210,0,4206,0,0,4206,0
19,21,4206,0,0,0,0,0,0,0,4206,0,0
20,17,4621,0,0,0,0,0,0,0,4621,0,0
20,18,4621,0,0,0,0,0,0,0,4621,0,0
20,19,4621,0,0,0,0,0,0,0,4621,0,0
20,26,1317,0,0,0,0,0,0,0,1317,0,0
20,37,2889,0,0,0,0,0,0,0,2889,0,0
26,2,1317,0,0,0,0,0,0,0,1317,0,0
26,3,1317,0,0,0,0,0,0,0,1317,0,0
26,4,1317,0,0,0,0,0,0,0,1317,0,0
26,5,1317,0,0,0,0,0,0,0,1317,0,0
26,17,1317,0,13170,0,0,0,0,0,1317,0,0
26,18,1317,31608,36876,0,1317,0,1317,0,0,1317,0
26,21,1317,0,0,0,0,0,0,0,1317,0,0
27,26,224,984,984,16,16,12,12,12,212,0,0
27,28,224,0,0,0,0,0,0,0,224,0,0
30,4,353,0,0,0,0,0,0,0,353,0,0
30,26,706,0,0,0,0,0,0,0,706,0,0
30,28,706,0,0,0,0,0,0,0,706,0,0
33,26,350,3964,3964,104,104,16,16,16,334,0,0
33,28,350,0,0,0,0,0,0,0,350,0,0
34,4,48,0,304,0,8,0,8,0,40,8,0
34,26,96,0,0,0,0,0,0,0,96,0,0
34,28,96,0,0,0,0,0,0,0,96,0,0
35,26,1006,28864,28864,7980,7980,90,90,90,916,0,0
35,28,1006,0,0,0,0,0,0,0,1006,0,0
36,4,542,0,1140,0,250,0,250,0,292,250,0
36,26,1084,0,0,0,0,0,0,0,1084,0,0
36,28,1084,0,0,0,0,0,0,0,1084,0,0
37,2,2889,0,0,0,0,0,0,0,2889,0,0
37,3,2889,0,0,0,0,0,0,0,2889,0,0
37,4,2889,0,0,0,0,0,0,0,2889,0,0
37,5,2889,0,0,0,0,0,0,0,2889,0,0
37,17,2889,0,28890,0,0,0,0,0,2889,0,0
37,18,2889,69336,80892,0,2889,0,2889,0,0,2889,0
37,21,2889,0,0,0,0,0,0,0,2889,0,0
