model_id_1,model_id_2,queries,official_internal_bv,candidate_internal_bv,official_root_bv,candidate_primitive_root_bv,official_total_rss,candidate_total_rss,official_triangles,candidate_triangles,distance_filter_skips,containment_filter_checks,containment_filter_skips,axis_filter_checks,axis_filter_skips,official_fp,official_fn,candidate_fp,candidate_fn
12,15,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,288891,264978,0,0,0,0
12,16,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,265306,264978,0,0,0,0
12,17,4625,0,0,4625,4625,4625,4625,0,0,291375,4625,0,296644,291375,0,0,0,0
12,18,4625,0,43,4625,4756,4625,4799,0,0,291295,4897,0,303289,291295,0,0,0,0
12,19,4625,392,817,4625,4674,5017,5491,4,84,291583,18225,0,342177,291583,0,0,0,0
12,20,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,264978,264978,0,0,0,0
12,21,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
12,26,1317,0,0,1317,1317,1317,1317,0,0,9219,1317,0,9219,9219,0,0,0,0
12,37,2889,0,0,2889,2889,2889,2889,0,0,20223,2889,0,20224,20223,0,0,0,0
13,2,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292985,292320,0,0,0,0
13,3,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,292367,292320,0,0,0,0
13,4,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,295807,292320,0,0,0,0
13,5,4640,0,0,4640,4640,4640,4640,0,0,292320,4640,0,296174,292320,0,0,0,0
13,15,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,274431,264978,0,0,0,0
13,16,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,265094,264978,0,0,0,0
13,17,4621,0,0,4621,4621,4621,4621,0,0,291123,4621,0,338241,291123,0,0,0,0
13,18,4621,0,11,4621,4628,4621,4639,0,0,291129,4663,0,378681,291129,0,0,0,0
13,19,4621,104,772,4621,4670,4725,5442,0,0,291768,14036,0,390746,291768,0,0,0,0
13,20,4206,0,0,4206,4206,4206,4206,0,0,264978,4206,0,265032,264978,0,0,0,0
13,21,4206,0,0,4206,4206,4206,4206,0,0,29442,4206,0,29442,29442,0,0,0,0
